team,date,AB,RS,H,HR,TB,BB,SF
ANA,20000912,31,5,8,0,10,5,0
ANA,20000913,34,8,10,1,15,4,0
ANA,20000915,48,16,21,1,29,4,0
ANA,20000916,36,7,13,1,16,3,1
ANA,20000917,32,0,8,0,11,1,0
ANA,20000919,28,1,3,1,6,4,0
ANA,20000920,45,7,14,0,19,4,0
ANA,20000921,32,3,6,1,12,2,0
ANA,20000922,32,2,9,0,10,5,0
ANA,20000923,42,15,18,3,35,6,2
ANA,20000924,31,9,5,3,16,14,1
ANA,20000925,37,5,11,0,18,4,0
ANA,20000926,34,3,7,0,10,1,0
ANA,20000927,42,7,13,1,21,7,1
ANA,20000928,50,6,12,3,22,6,0
ANA,20000929,33,9,10,3,23,5,1
ANA,20000930,40,9,12,2,21,3,0
ANA,20001001,34,2,7,0,9,4,1
ANA,20010403,33,2,9,0,14,1,0
ANA,20010404,35,3,8,2,15,6,0
ANA,20010405,39,10,13,4,27,2,0
ANA,20010406,35,5,10,0,11,6,0
ANA,20010407,30,2,3,1,6,1,0
ANA,20010408,41,6,12,0,14,1,0
ANA,20010410,40,5,15,1,22,2,0
ANA,20010411,35,7,12,2,21,6,0
ANA,20010412,36,13,12,2,22,3,1
ANA,20010413,29,4,8,2,14,3,0
ANA,20010414,28,1,2,0,4,5,1
ANA,20010415,33,5,7,2,13,1,1
ANA,20010416,32,3,6,1,10,1,0
ANA,20010417,32,1,6,1,10,2,0
ANA,20010418,32,3,8,0,10,3,0
ANA,20010419,33,2,6,1,11,1,0
ANA,20010420,31,1,6,0,8,3,0
ANA,20010421,35,2,7,2,14,5,0
ANA,20010422,32,0,6,0,6,1,0
ANA,20010424,36,7,9,1,18,8,0
ANA,20010425,32,3,5,0,8,4,0
ANA,20010426,33,5,6,1,11,2,1
ANA,20010427,38,4,11,1,17,2,0
ANA,20010428,31,4,7,0,9,6,1
ANA,20010429,33,0,9,0,10,1,0
ANA,20010501,31,6,8,1,14,4,2
ANA,20010502,38,12,16,1,21,7,2
ANA,20010503,31,3,8,1,11,4,0
ANA,20010504,35,7,13,0,15,6,0
ANA,20010505,35,2,8,0,9,3,0
ANA,20010506,35,3,7,1,12,5,0
ANA,20010508,34,0,9,0,9,1,0
ANA,20010509,35,5,10,2,18,2,1
ANA,20010510,41,7,12,3,22,2,0
ANA,20010511,46,6,16,1,22,5,0
ANA,20010512,29,1,3,1,6,4,0
ANA,20010513,42,14,16,0,21,9,0
ANA,20010515,35,3,7,1,12,2,1
ANA,20010516,29,3,8,2,15,6,0
ANA,20010517,28,4,10,0,11,4,1
ANA,20010518,31,2,6,0,7,1,1
ANA,20010519,43,3,11,0,13,8,0
ANA,20010520,37,9,14,1,21,5,0
ANA,20010523,36,5,10,1,18,5,0
ANA,20010524,35,4,9,1,13,3,0
ANA,20010525,34,6,11,2,21,3,1
ANA,20010526,35,10,12,2,21,10,3
ANA,20010527,37,3,8,0,11,3,0
ANA,20010528,34,3,8,1,13,3,1
ANA,20010529,47,5,13,1,18,4,0
ANA,20010530,32,0,5,0,8,2,0
ANA,20010531,44,5,11,1,16,8,0
ANA,20010601,32,7,10,2,17,5,0
