team,date,AB,RS,H,HR,TB,BB,SF
ATL,20100814,30,1,4,0,5,4,0
ATL,20100815,39,9,16,1,22,5,0
ATL,20100816,32,3,8,0,11,3,0
ATL,20100817,37,9,12,1,21,5,0
ATL,20100818,34,3,11,0,13,4,0
ATL,20100819,32,2,7,0,9,3,0
ATL,20100820,31,4,5,1,12,5,0
ATL,20100821,36,4,9,0,14,7,0
ATL,20100822,40,11,13,4,26,8,0
ATL,20100823,37,3,11,2,18,1,0
ATL,20100824,30,2,7,1,10,1,0
ATL,20100825,40,7,14,1,27,4,0
ATL,20100827,34,1,6,1,10,0,0
ATL,20100828,37,11,14,3,26,6,0
ATL,20100829,34,6,7,2,14,6,0
ATL,20100830,36,7,14,2,20,4,0
ATL,20100831,35,6,12,1,21,4,0
ATL,20100901,31,4,11,0,14,2,0
ATL,20100902,34,2,7,1,10,2,0
ATL,20100903,34,1,7,0,8,4,0
ATL,20100904,34,2,10,0,13,4,0
ATL,20100905,40,4,10,0,12,2,0
ATL,20100906,36,0,8,0,8,4,0
ATL,20100907,29,0,5,0,7,4,0
ATL,20100908,42,7,14,0,15,7,0
ATL,20100909,33,3,8,1,11,1,0
ATL,20100910,34,5,11,1,16,1,0
ATL,20100911,44,4,11,2,20,8,0
ATL,20100912,38,3,11,1,18,2,0
ATL,20100913,31,4,5,0,8,5,0
ATL,20100914,30,0,5,0,5,4,0
ATL,20100915,33,2,10,0,15,3,0
ATL,20100917,33,4,5,1,9,5,0
ATL,20100918,33,4,8,1,15,3,0
ATL,20100919,37,3,12,1,18,7,0
ATL,20100920,30,1,6,0,8,1,0
ATL,20100921,33,1,9,1,14,2,0
ATL,20100922,28,0,1,0,2,2,0
ATL,20100924,35,3,6,1,9,2,0
ATL,20100925,34,3,9,1,14,7,0
ATL,20100926,33,2,7,1,12,2,0
ATL,20100927,42,2,8,1,12,5,0
ATL,20100928,31,2,8,1,14,2,0
ATL,20100929,32,3,7,1,15,10,0
ATL,20101001,37,5,10,0,12,5,0
ATL,20101002,31,0,3,0,4,2,0
ATL,20101003,35,8,14,1,21,7,0
ATL,20110331,31,2,5,1,9,1,0
ATL,20110402,36,3,10,2,17,3,0
ATL,20110403,41,10,12,0,18,6,0
ATL,20110404,34,2,7,2,13,3,0
ATL,20110405,26,0,2,0,2,2,0
ATL,20110406,34,2,8,1,13,2,0
ATL,20110407,35,2,8,0,8,3,0
ATL,20110408,36,5,12,0,17,4,0
ATL,20110409,32,2,6,0,9,2,0
ATL,20110410,31,0,5,0,6,1,0
ATL,20110412,33,4,9,2,18,2,0
ATL,20110413,29,1,2,1,6,3,0
ATL,20110414,34,3,8,2,15,3,0
ATL,20110416,64,8,17,4,30,8,0
ATL,20110417,33,2,7,1,12,4,0
ATL,20110418,34,2,7,0,10,2,0
ATL,20110419,38,7,14,4,27,8,0
ATL,20110420,29,0,4,0,5,2,0
ATL,20110421,42,3,7,1,10,5,0
ATL,20110422,32,4,6,0,7,3,0
ATL,20110423,34,5,9,0,10,6,0
ATL,20110424,38,5,8,2,16,7,0
ATL,20110425,46,3,8,1,13,0,0
ATL,20110426,35,5,9,3,19,4,0
ATL,20110427,39,7,10,0,16,1,0
ATL,20110429,40,3,10,2,18,4,0
ATL,20110430,31,2,6,0,9,5,0
ATL,20110501,34,5,8,1,12,2,0
ATL,20110502,30,5,10,1,15,6,0
ATL,20110504,76,13,25,1,33,9,0
ATL,20110505,31,2,7,2,16,2,0
ATL,20110506,38,5,12,0,16,1,0
ATL,20110507,31,0,5,0,7,3,0
ATL,20110508,32,3,8,3,17,5,0
ATL,20110510,34,4,9,2,16,3,0
ATL,20110511,39,3,8,1,14,3,0
ATL,20110512,35,3,8,2,14,5,0
ATL,20110513,38,4,10,0,14,4,0
ATL,20110514,32,5,9,2,17,7,0
ATL,20110515,32,2,8,1,11,2,0
ATL,20110516,32,3,9,0,9,5,0
ATL,20110517,37,2,7,2,13,5,0
ATL,20110518,40,2,11,0,13,4,0
ATL,20110519,33,1,5,0,7,0,0
ATL,20110520,31,0,4,0,4,0,0
ATL,20110521,52,3,17,1,25,4,0
ATL,20110522,33,1,6,0,7,2,0
ATL,20110524,34,1,8,0,11,3,0
ATL,20110525,41,3,9,2,17,2,0
ATL,20110527,34,0,9,0,10,6,0
ATL,20110528,45,7,14,3,25,3,0
ATL,20110529,27,1,5,1,8,5,0
ATL,20110530,37,2,9,0,12,4,0
ATL,20110531,36,4,9,0,11,5,0
ATL,20110601,34,4,10,1,16,5,0
ATL,20110603,38,6,11,2,22,3,0
ATL,20110604,30,0,4,0,5,2,0
ATL,20110605,34,2,6,2,14,2,0
ATL,20110607,29,1,2,1,5,2,0
ATL,20110608,40,3,10,0,13,3,0
ATL,20110609,33,3,7,0,9,3,0
ATL,20110610,41,10,14,4,28,4,0
ATL,20110611,42,4,14,2,24,3,0
ATL,20110612,32,2,5,2,11,2,0
ATL,20110613,32,1,6,1,13,6,0
ATL,20110614,34,3,6,1,10,1,0
ATL,20110615,29,0,2,0,3,2,0
ATL,20110616,44,6,14,2,21,4,0
ATL,20110617,31,2,5,2,13,5,0
ATL,20110618,36,4,4,1,10,3,0
ATL,20110619,33,3,7,0,8,4,0
ATL,20110620,29,1,6,1,11,4,0
ATL,20110621,33,3,11,1,16,3,0
ATL,20110622,31,3,7,3,17,2,0
ATL,20110624,30,1,4,1,7,1,0
ATL,20110625,38,6,12,1,23,6,0
ATL,20110626,29,1,2,0,4,3,0
ATL,20110627,33,2,5,2,12,1,0
ATL,20110628,34,4,8,1,11,7,0
ATL,20110629,36,5,10,0,10,3,0
ATL,20110701,31,2,7,1,11,3,0
ATL,20110702,30,2,7,1,11,3,0
ATL,20110703,35,4,10,0,10,4,0
ATL,20110704,32,3,7,2,14,3,0
ATL,20110705,30,5,7,2,16,6,0
ATL,20110706,36,7,14,2,24,2,0
ATL,20110707,37,4,12,2,22,4,0
ATL,20110708,37,2,6,0,9,0,0
ATL,20110709,38,3,5,2,11,3,0
ATL,20110710,32,1,4,0,6,2,0
ATL,20110715,41,11,13,1,20,3,0
ATL,20110716,30,1,5,1,9,4,0
ATL,20110717,33,7,7,2,14,7,0
ATL,20110718,39,5,12,2,19,4,0
ATL,20110719,35,3,9,2,16,3,0
ATL,20110720,35,2,7,0,9,1,0
ATL,20110721,38,7,10,3,23,7,0
ATL,20110722,36,5,12,4,25,2,0
ATL,20110723,34,2,6,0,8,4,0
ATL,20110724,34,2,9,1,13,3,0
ATL,20110725,36,1,9,1,12,1,0
ATL,20110726,70,4,15,0,15,13,0
ATL,20110727,40,2,14,0,18,1,0
ATL,20110728,34,1,11,0,14,1,0
ATL,20110729,31,2,8,1,12,0,0
ATL,20110730,33,3,9,2,16,3,0
ATL,20110731,38,1,13,0,15,0,0
ATL,20110801,33,3,10,3,19,1,0
ATL,20110802,37,3,10,0,12,1,0
ATL,20110803,34,4,7,1,10,1,0
ATL,20110805,35,3,8,0,12,2,0
ATL,20110806,40,6,13,1,19,3,0
ATL,20110807,40,4,10,3,19,9,0
ATL,20110808,38,4,11,1,15,4,0
ATL,20110809,44,4,11,1,15,6,0
ATL,20110810,40,6,13,0,15,3,0
ATL,20110812,35,6,11,5,26,1,0
ATL,20110813,40,3,12,1,17,2,0
ATL,20110814,36,3,7,0,7,2,0
ATL,20110815,37,5,11,1,16,4,0
ATL,20110816,34,2,7,0,8,5,0
ATL,20110817,39,5,8,0,10,2,0
ATL,20110818,28,1,6,1,11,3,0
ATL,20110819,31,3,8,3,18,3,0
ATL,20110820,35,6,13,3,24,4,0
ATL,20110821,26,1,5,1,10,3,0
ATL,20110822,33,2,6,2,12,3,0
ATL,20110823,35,2,9,1,13,3,0
ATL,20110824,30,2,3,2,9,4,0
ATL,20110825,39,5,11,2,18,4,0
ATL,20110826,28,0,2,0,3,0,0
ATL,20110830,31,1,5,0,6,3,0
ATL,20110831,32,3,7,2,13,1,0
ATL,20110901,31,4,8,2,17,5,0
ATL,20110902,39,6,14,1,19,5,0
ATL,20110903,35,1,7,1,10,5,0
ATL,20110904,38,3,11,0,12,1,0
ATL,20110905,30,0,5,0,5,0,0
ATL,20110906,36,1,10,1,15,4,0
ATL,20110907,32,2,6,0,7,5,0
ATL,20110908,74,10,18,2,32,8,0
ATL,20110909,39,3,10,0,14,2,0
ATL,20110910,36,2,9,1,12,1,0
ATL,20110911,34,2,6,1,9,1,0
ATL,20110912,50,2,14,0,19,5,0
ATL,20110913,35,2,11,2,19,3,0
ATL,20110914,28,2,5,1,8,2,0
ATL,20110916,34,1,6,1,11,3,0
ATL,20110917,26,1,3,0,4,6,0
ATL,20110918,38,5,12,1,17,9,0
ATL,20110919,34,5,6,2,13,3,0
ATL,20110920,37,4,11,2,19,5,0
ATL,20110921,30,0,2,0,3,4,0
ATL,20110923,38,7,11,0,13,2,0
ATL,20110924,31,1,6,1,9,2,0
ATL,20110925,30,0,4,0,4,2,0
ATL,20110926,33,2,7,1,15,1,0
ATL,20110927,31,1,4,1,8,1,0
ATL,20110928,46,1,10,1,14,4,0
ATL,20120405,31,0,4,0,7,3,0
ATL,20120407,34,1,7,1,13,4,0
ATL,20120408,32,4,3,1,7,4,0
ATL,20120409,34,3,7,0,8,1,0
ATL,20120410,39,5,11,2,18,3,0
ATL,20120411,39,5,11,1,16,2,0
ATL,20120413,38,7,14,2,24,6,0
ATL,20120414,28,2,3,0,4,3,0
ATL,20120415,33,4,9,2,17,6,0
ATL,20120416,33,1,5,0,5,1,0
ATL,20120417,35,6,9,1,15,4,0
ATL,20120418,41,10,17,3,33,3,0
ATL,20120419,42,8,16,2,26,3,0
ATL,20120420,40,6,12,1,18,5,0
ATL,20120421,33,3,6,1,9,2,0
ATL,20120422,34,3,10,1,15,2,0
ATL,20120423,33,2,7,2,13,4,0
ATL,20120424,34,4,8,1,14,5,0
ATL,20120425,34,4,9,0,10,2,0
ATL,20120427,34,6,10,0,11,5,0
ATL,20120428,35,2,8,0,10,2,0
ATL,20120429,32,3,7,1,11,6,0
ATL,20120430,35,2,8,1,14,2,0
ATL,20120501,34,1,8,1,11,3,0
ATL,20120502,48,10,19,2,26,3,0
ATL,20120503,29,0,3,0,3,0,0
ATL,20120504,50,7,19,3,33,6,0
ATL,20120505,43,12,14,2,21,6,0
ATL,20120506,32,4,9,2,17,4,0
ATL,20120507,31,1,6,1,10,5,0
ATL,20120508,35,2,9,0,11,3,0
ATL,20120509,30,0,4,0,6,4,0
ATL,20120511,51,6,13,2,24,6,0
ATL,20120512,40,7,13,1,17,7,0
ATL,20120513,37,7,10,0,15,6,0
ATL,20120514,34,0,8,0,10,4,0
ATL,20120515,36,5,12,1,16,2,0
ATL,20120516,36,4,10,0,13,1,0
ATL,20120517,35,7,12,1,19,5,0
ATL,20120518,37,5,10,1,15,4,0
ATL,20120519,32,1,6,0,7,2,0
ATL,20120520,34,2,7,1,10,3,0
ATL,20120521,31,1,3,1,7,3,0
ATL,20120522,33,3,6,2,14,1,0
ATL,20120523,31,1,4,1,9,3,0
ATL,20120524,33,2,7,2,13,2,0
ATL,20120525,35,4,9,1,17,4,0
ATL,20120526,33,3,8,1,12,5,0
ATL,20120527,30,1,3,0,6,3,0
ATL,20120528,31,2,5,0,6,2,0
ATL,20120529,29,3,5,2,11,4,0
ATL,20120530,38,8,14,2,23,5,0
ATL,20120602,31,0,6,0,7,0,0
ATL,20120603,35,3,9,0,11,4,0
ATL,20120605,43,9,16,2,26,2,0
ATL,20120606,33,2,6,0,7,3,0
ATL,20120607,36,5,9,4,21,3,0
ATL,20120608,36,3,9,0,14,7,0
ATL,20120609,32,3,8,2,15,2,0
ATL,20120610,39,4,12,0,15,5,0
ATL,20120611,31,0,5,0,5,1,0
ATL,20120612,37,4,10,0,15,3,0
ATL,20120613,38,1,12,1,17,4,0
ATL,20120615,33,3,11,2,21,3,0
ATL,20120616,28,0,1,0,1,2,0
ATL,20120617,31,0,7,0,7,1,0
ATL,20120618,33,2,7,0,9,1,0
ATL,20120619,33,4,7,0,11,3,0
ATL,20120620,38,8,11,5,27,1,0
ATL,20120622,39,3,13,0,17,3,0
ATL,20120623,35,4,10,0,12,2,0
ATL,20120624,37,4,11,1,18,0,0
ATL,20120626,41,6,17,1,23,3,0
ATL,20120627,30,2,5,2,12,4,0
ATL,20120628,35,1,6,0,9,6,0
ATL,20120629,35,2,7,1,12,4,0
ATL,20120630,33,5,9,0,14,6,0
ATL,20120701,35,2,8,1,13,4,0
ATL,20120702,31,1,6,0,8,1,0
ATL,20120703,32,9,10,1,17,9,0
ATL,20120704,32,1,8,0,11,3,0
ATL,20120705,32,4,9,4,21,5,0
ATL,20120706,32,2,6,1,9,5,0
ATL,20120707,37,5,10,1,14,2,0
ATL,20120708,36,3,10,2,18,4,0
ATL,20120713,32,5,10,2,20,11,0
ATL,20120714,36,8,12,0,14,5,0
ATL,20120715,31,3,8,1,14,4,0
ATL,20120717,31,0,5,0,7,2,0
ATL,20120718,43,3,8,3,18,4,0
ATL,20120719,28,3,3,2,11,0,0
ATL,20120720,48,10,15,1,24,10,0
ATL,20120721,65,5,14,2,22,10,0
ATL,20120722,35,2,8,0,9,1,0
ATL,20120723,30,1,4,0,4,2,0
ATL,20120724,34,2,7,0,9,7,0
ATL,20120725,36,5,9,3,19,1,0
ATL,20120727,32,4,5,1,10,8,0
ATL,20120728,30,1,5,0,5,2,0
ATL,20120729,35,6,9,2,16,4,0
ATL,20120730,37,7,13,1,19,5,0
ATL,20120731,40,7,13,2,22,4,0
ATL,20120801,33,2,9,0,12,5,0
ATL,20120802,34,6,10,0,12,6,0
ATL,20120803,29,4,5,0,9,9,0
ATL,20120804,29,2,4,0,5,6,0
ATL,20120805,32,6,9,1,13,6,0
ATL,20120806,39,6,11,1,18,3,0
ATL,20120807,29,0,5,0,5,0,0
ATL,20120808,37,10,10,1,17,9,0
ATL,20120810,31,2,4,2,11,6,0
ATL,20120811,40,7,13,1,18,2,0
ATL,20120812,32,5,7,1,13,7,0
ATL,20120813,33,1,5,0,7,0,0
ATL,20120814,34,4,10,2,19,0,0
ATL,20120815,32,4,9,1,16,6,0
ATL,20120816,33,5,10,3,22,5,0
ATL,20120817,42,4,10,1,13,3,0
ATL,20120818,32,2,5,1,13,8,0
ATL,20120819,29,0,3,0,5,2,0
ATL,20120820,49,3,12,1,19,8,0
ATL,20120821,33,0,6,0,7,2,0
ATL,20120822,35,3,9,0,12,1,0
ATL,20120823,33,2,6,0,8,4,0
ATL,20120824,32,3,6,3,15,1,0
ATL,20120825,38,5,11,1,17,7,0
ATL,20120826,37,6,10,3,21,4,0
ATL,20120827,28,0,4,0,5,3,0
ATL,20120828,35,2,7,1,11,2,0
ATL,20120829,34,1,7,1,10,2,0
ATL,20120831,38,3,9,3,19,7,0
ATL,20120901,34,1,7,1,10,1,0
ATL,20120902,35,6,9,1,15,5,0
ATL,20120903,29,5,5,0,7,5,0
ATL,20120904,33,0,9,0,10,2,0
ATL,20120905,26,0,4,0,4,7,0
ATL,20120906,32,1,7,0,8,3,0
ATL,20120907,35,2,7,2,14,1,0
ATL,20120908,44,10,17,2,27,4,0
ATL,20120909,36,2,6,1,11,7,0
ATL,20120910,33,1,10,0,10,3,0
ATL,20120911,32,0,5,0,5,1,0
ATL,20120912,31,2,5,1,8,4,0
ATL,20120914,35,1,10,0,12,2,0
ATL,20120915,31,4,6,2,15,6,0
ATL,20120916,29,4,5,0,6,7,0
ATL,20120917,37,5,11,1,14,1,0
ATL,20120918,36,3,7,0,9,4,0
ATL,20120919,33,1,7,0,9,3,0
ATL,20120921,33,2,6,0,8,1,0
ATL,20120922,36,6,9,1,15,8,0
ATL,20120923,37,1,9,1,14,0,0
ATL,20120925,29,2,6,1,14,3,0
ATL,20120926,29,2,4,1,7,5,0
ATL,20120927,32,6,8,0,11,5,0
ATL,20120928,31,1,4,1,7,3,0
ATL,20120929,31,2,8,0,10,1,0
ATL,20120930,31,4,8,1,16,5,0
ATL,20121001,28,1,2,0,2,6,0
ATL,20121002,34,1,8,0,11,1,0
ATL,20121003,36,3,10,0,10,2,0
ATL,20130401,33,6,10,3,22,3,0
ATL,20130403,33,7,9,3,19,6,0
ATL,20130404,29,0,2,0,2,0,0
ATL,20130405,31,3,6,1,9,6,0
ATL,20130406,35,6,12,3,23,4,0
ATL,20130407,30,5,6,1,10,5,0
ATL,20130408,37,2,10,1,14,0,0
ATL,20130409,35,2,8,1,14,1,0
ATL,20130410,39,4,13,2,20,5,0
ATL,20130412,38,5,9,2,16,7,0
ATL,20130413,35,1,8,1,11,4,0
ATL,20130414,39,6,12,2,22,6,0
ATL,20130416,33,6,9,5,26,2,0
ATL,20130417,32,0,6,0,8,0,0
ATL,20130418,38,4,10,4,23,8,0
ATL,20130419,27,0,2,0,2,0,0
ATL,20130420,31,1,4,0,5,5,0
ATL,20130421,33,2,8,0,9,7,0
ATL,20130423,76,11,23,6,47,7,0
ATL,20130424,44,4,10,0,13,5,0
ATL,20130426,32,0,5,0,8,1,0
ATL,20130427,33,3,7,1,10,2,0
ATL,20130428,33,2,6,0,8,5,0
ATL,20130429,28,2,7,0,8,5,0
ATL,20130430,37,8,12,2,21,6,0
ATL,20130501,29,0,2,0,3,0,0
ATL,20130502,33,1,5,1,8,1,0
ATL,20130503,37,3,10,1,15,6,0
ATL,20130505,35,8,12,1,21,7,0
ATL,20130506,38,6,11,3,24,4,0
ATL,20130507,32,4,5,0,6,4,0
ATL,20130508,36,4,11,3,23,4,0
ATL,20130509,38,5,11,1,18,5,0
ATL,20130510,29,1,3,1,7,3,0
ATL,20130511,34,1,7,0,8,3,0
ATL,20130512,33,1,4,0,5,4,0
ATL,20130513,40,6,13,3,26,4,0
ATL,20130514,29,0,4,0,5,5,0
ATL,20130515,39,3,10,0,12,3,0
ATL,20130517,34,5,9,1,15,7,0
ATL,20130518,30,2,7,2,13,0,0
ATL,20130519,32,3,8,0,8,7,0
ATL,20130520,32,2,9,1,13,2,0
ATL,20130521,38,5,10,2,18,2,0
ATL,20130522,33,5,10,3,20,7,0
ATL,20130524,40,5,10,2,18,6,0
ATL,20130525,38,5,11,1,16,1,0
ATL,20130526,30,1,5,1,9,1,0
ATL,20130527,34,2,8,1,13,3,0
ATL,20130528,42,6,12,4,26,3,0
ATL,20130529,29,0,4,0,6,3,0
ATL,20130530,41,10,15,2,22,2,0
ATL,20130531,30,2,4,1,7,3,0
ATL,20130601,32,2,5,0,6,3,0
ATL,20130602,34,3,9,2,16,5,0
ATL,20130603,33,3,10,3,21,6,0
ATL,20130604,38,4,10,1,16,8,0
ATL,20130605,32,2,7,2,13,7,0
ATL,20130606,31,0,7,0,8,3,0
ATL,20130607,38,1,8,0,10,1,0
ATL,20130608,34,2,9,2,17,3,0
ATL,20130609,34,5,7,2,14,7,0
ATL,20130610,34,4,9,3,20,5,0
ATL,20130611,32,2,6,0,6,1,0
ATL,20130612,37,3,10,1,14,3,0
ATL,20130614,29,0,3,0,3,1,0
ATL,20130615,36,5,11,2,18,4,0
ATL,20130616,30,2,7,0,9,5,0
ATL,20130617,30,1,5,1,9,1,0
ATL,20130618,64,3,13,0,15,12,0
ATL,20130619,31,3,7,1,12,6,0
ATL,20130620,40,3,13,0,14,1,0
ATL,20130621,28,0,2,0,2,6,0
ATL,20130622,31,0,4,0,5,1,0
ATL,20130623,40,4,14,3,25,5,0
ATL,20130625,35,4,10,1,17,4,0
ATL,20130626,36,3,8,0,9,5,0
ATL,20130628,33,3,11,1,19,5,0
ATL,20130629,35,8,11,1,18,10,0
ATL,20130630,34,3,10,3,22,6,0
ATL,20130702,40,11,17,0,28,2,0
ATL,20130703,37,3,10,1,13,0,0
ATL,20130704,33,3,7,0,9,1,0
ATL,20130705,35,1,9,1,14,2,0
ATL,20130706,46,9,18,3,32,4,0
ATL,20130707,37,3,9,1,13,3,0
ATL,20130708,51,6,9,0,14,4,0
ATL,20130709,37,4,11,1,17,5,0
ATL,20130710,33,2,6,0,9,3,0
ATL,20130711,36,6,11,0,15,2,0
ATL,20130712,32,2,4,1,7,2,0
ATL,20130713,34,5,11,2,19,2,0
ATL,20130714,36,4,9,2,16,3,0
ATL,20130719,34,3,9,2,15,1,0
ATL,20130720,36,3,10,2,17,1,0
ATL,20130721,34,1,9,0,9,5,0
ATL,20130722,34,2,6,0,6,4,0
ATL,20130723,33,1,7,1,12,4,0
ATL,20130724,36,5,8,3,17,4,0
ATL,20130725,32,2,5,2,12,4,0
ATL,20130726,31,3,8,1,12,1,0
ATL,20130727,31,2,9,0,11,5,0
ATL,20130728,35,5,12,1,16,2,0
ATL,20130729,40,8,12,0,18,3,0
ATL,20130730,39,7,14,3,26,4,0
ATL,20130731,40,7,15,1,19,4,0
ATL,20130801,37,7,14,3,25,6,0
ATL,20130802,36,5,10,2,19,4,0
ATL,20130803,43,4,5,1,9,9,0
ATL,20130804,36,4,9,0,11,4,0
ATL,20130805,35,3,8,1,11,2,0
ATL,20130806,33,2,8,0,9,2,0
ATL,20130807,40,5,15,1,22,4,0
ATL,20130809,32,3,7,3,17,4,0
ATL,20130810,29,0,3,0,3,3,0
ATL,20130811,36,5,12,1,19,4,0
ATL,20130812,32,0,6,0,10,1,0
ATL,20130813,31,2,8,1,14,3,0
ATL,20130814,33,3,9,1,14,6,0
ATL,20130816,36,2,9,1,12,2,0
ATL,20130817,52,5,9,4,21,8,0
ATL,20130818,27,2,5,0,6,3,0
ATL,20130820,34,3,8,0,10,3,0
ATL,20130821,37,2,9,1,13,4,0
ATL,20130822,34,1,9,1,12,3,0
ATL,20130823,33,1,6,0,6,0,0
ATL,20130824,34,2,7,1,11,1,0
ATL,20130825,34,3,10,1,16,2,0
ATL,20130827,26,2,3,0,5,2,0
ATL,20130828,35,3,10,0,11,6,0
ATL,20130829,31,1,8,1,14,1,0
ATL,20130830,28,1,5,1,10,4,0
ATL,20130831,43,3,11,1,16,9,0
ATL,20130901,34,0,8,0,12,3,0
ATL,20130902,41,10,17,1,25,6,0
ATL,20130903,31,2,7,2,13,1,0
ATL,20130904,35,1,7,1,12,1,0
ATL,20130906,30,1,3,1,6,1,0
ATL,20130907,33,4,7,1,11,4,0
ATL,20130908,28,2,2,2,8,2,0
ATL,20130909,31,5,5,0,8,4,0
ATL,20130910,37,4,10,0,12,5,0
ATL,20130911,34,2,7,1,15,3,0
ATL,20130912,34,5,9,1,15,7,0
ATL,20130913,30,2,5,2,11,2,0
ATL,20130914,32,2,9,1,13,6,0
ATL,20130915,32,0,4,0,5,2,0
ATL,20130917,68,3,14,1,19,5,0
ATL,20130918,34,4,8,2,15,2,0
ATL,20130920,35,7,8,2,18,10,0
ATL,20130921,31,1,5,0,6,4,0
ATL,20130922,39,3,12,3,21,1,0
ATL,20130923,29,0,3,0,5,3,0
ATL,20130924,32,3,10,0,11,1,0
ATL,20130925,29,0,2,0,2,0,0
ATL,20130926,36,7,12,1,21,6,0
ATL,20130927,27,1,3,1,6,0,0
ATL,20130928,36,1,12,1,17,5,0
ATL,20130929,37,10,17,1,24,9,0
ATL,20140331,32,0,5,0,6,2,0
ATL,20140401,35,3,9,3,20,2,0
ATL,20140402,30,1,3,1,6,2,0
ATL,20140404,32,1,6,1,10,3,0
ATL,20140405,41,4,13,0,16,4,0
ATL,20140406,35,0,8,0,9,2,0
ATL,20140408,37,0,8,0,9,0,0
ATL,20140409,33,4,9,1,13,0,0
ATL,20140410,33,3,7,2,15,4,0
ATL,20140411,35,5,10,2,18,6,0
ATL,20140412,38,6,13,2,22,2,0
ATL,20140413,36,5,11,3,26,6,0
ATL,20140414,36,5,9,5,27,9,0
ATL,20140416,37,1,11,1,14,1,0
ATL,20140417,30,0,4,0,5,2,0
ATL,20140418,37,3,12,1,20,4,0
ATL,20140419,38,4,11,1,15,3,0
ATL,20140420,49,2,10,0,15,5,0
ATL,20140421,36,3,9,2,16,7,0
ATL,20140422,31,0,3,0,3,0,0
ATL,20140423,31,3,7,0,8,4,0
ATL,20140425,32,3,10,1,14,1,0
ATL,20140426,31,3,8,3,17,1,0
ATL,20140427,37,1,7,0,9,3,0
ATL,20140429,30,0,3,0,4,2,0
ATL,20140430,32,1,6,1,14,1,0
ATL,20140501,35,2,9,2,16,4,0
ATL,20140502,35,1,8,0,8,5,0
ATL,20140503,30,1,5,0,7,5,0
ATL,20140504,32,0,4,0,4,2,0
ATL,20140505,35,2,9,1,15,3,0
ATL,20140506,32,2,8,1,12,1,0
ATL,20140507,34,1,7,0,12,1,0
ATL,20140509,36,3,9,0,9,3,0
ATL,20140510,29,1,5,0,6,2,0
ATL,20140511,30,4,7,2,14,3,0
ATL,20140512,29,2,4,2,11,4,0
ATL,20140513,36,3,9,0,11,1,0
ATL,20140514,33,4,7,0,13,2,0
ATL,20140516,32,2,8,0,9,2,0
ATL,20140517,30,1,6,0,7,3,0
ATL,20140518,32,6,7,2,15,5,0
ATL,20140519,39,6,15,3,24,7,0
ATL,20140520,32,5,8,2,15,4,0
ATL,20140521,32,1,5,0,7,0,0
ATL,20140522,31,3,9,1,13,4,0
ATL,20140523,34,3,10,0,13,2,0
ATL,20140524,31,0,4,0,6,4,0
ATL,20140525,31,4,7,4,19,3,0
ATL,20140526,33,6,8,0,11,9,0
ATL,20140527,35,1,10,1,16,4,0
ATL,20140528,36,0,9,0,11,1,0
ATL,20140529,37,3,9,1,13,1,0
ATL,20140530,31,2,8,0,11,6,0
ATL,20140531,40,8,12,0,13,9,0
ATL,20140601,35,2,9,1,12,1,0
ATL,20140603,36,3,10,2,18,3,0
ATL,20140604,32,0,6,0,6,0,0
ATL,20140606,40,4,13,1,19,1,0
ATL,20140607,42,3,8,1,14,1,0
ATL,20140608,36,4,9,3,19,3,0
ATL,20140609,34,3,8,0,8,5,0
ATL,20140610,42,9,16,3,28,4,0
ATL,20140611,34,2,7,0,7,0,0
ATL,20140612,30,2,4,1,8,5,0
ATL,20140613,32,2,8,2,14,3,0
ATL,20140614,54,5,15,1,21,6,0
ATL,20140615,35,6,12,1,17,3,0
ATL,20140616,50,1,12,0,16,4,0
ATL,20140617,32,2,6,0,9,1,0
ATL,20140618,33,4,9,2,18,7,0
ATL,20140619,38,3,11,0,13,2,0
ATL,20140620,51,5,12,1,18,2,0
ATL,20140621,32,0,5,0,5,2,0
ATL,20140622,32,1,4,0,4,3,0
ATL,20140624,33,3,6,2,15,1,0
ATL,20140625,32,2,5,1,11,4,0
ATL,20140626,30,0,6,0,8,3,0
ATL,20140627,36,2,9,1,14,3,0
ATL,20140628,73,15,20,1,29,10,0
ATL,20140629,33,3,7,0,11,5,0
ATL,20140630,32,4,7,0,8,8,0
ATL,20140701,31,5,7,0,8,4,0
ATL,20140702,32,3,8,0,9,3,0
ATL,20140704,35,5,12,0,14,1,0
ATL,20140705,40,7,14,1,25,5,0
ATL,20140706,33,1,7,0,7,3,0
ATL,20140707,43,3,12,0,15,4,0
ATL,20140708,40,3,13,0,13,1,0
ATL,20140709,33,1,8,0,9,1,0
ATL,20140710,35,3,10,0,11,1,0
ATL,20140711,33,4,6,0,10,3,0
ATL,20140712,37,9,12,3,24,5,0
ATL,20140713,38,8,11,1,17,6,0
ATL,20140718,34,6,10,1,15,1,0
ATL,20140719,31,0,5,0,8,1,0
ATL,20140720,33,7,8,1,14,9,0
ATL,20140721,37,1,6,0,7,3,0
ATL,20140722,32,5,7,1,11,4,0
ATL,20140723,33,3,8,1,12,3,0
ATL,20140724,31,1,6,1,10,1,0
ATL,20140725,31,1,4,0,6,6,0
ATL,20140726,34,3,11,0,12,6,0
ATL,20140727,31,8,8,0,12,4,0
ATL,20140728,32,2,8,1,11,2,0
ATL,20140729,39,2,12,1,18,7,0
ATL,20140730,36,2,6,1,11,3,0
ATL,20140731,32,0,9,0,9,0,0
ATL,20140801,33,1,4,0,5,5,0
