retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
cooka002,2012,BOS,4,11,18,18,282,20,0.304,5.65
cornn001,2003,DET,6,17,32,32,584,46,0.307,4.67
daalo001,2003,BAL,4,11,19,17,281,53,0.34299999999999997,6.34
damij001,2003,PIT,9,16,29,29,526,100,0.29100000000000004,4.77
davij005,2003,CLE,8,11,27,27,496,85,0.273,4.68
davij005,2004,CLE,2,7,26,19,343,72,0.311,5.51
day-z001,2003,WAS,9,8,23,23,394,61,0.262,4.18
day-z001,2004,WAS,5,10,19,19,350,61,0.265,3.93
dempr002,2003,CIN,3,7,22,20,347,84,0.293,6.54
dempr002,2008,CHN,17,6,33,33,620,187,0.22699999999999998,2.96
dempr002,2009,CHN,11,9,31,31,600,172,0.26,3.65
dempr002,2010,CHN,15,12,34,34,646,208,0.244,3.85
dempr002,2011,CHN,10,14,34,34,607,191,0.271,4.8
dempr002,2012,CHN,5,5,16,16,312,83,0.21,2.25
dempr002,2013,BOS,8,9,32,29,514,157,0.256,4.57
desse001,2003,ARI,8,8,34,30,527,113,0.299,5.07
dickr001,2003,TEX,9,8,38,13,350,94,0.292,5.09
dickr001,2004,TEX,6,7,25,15,313,57,0.311,5.61
dickr001,2008,SEA,5,8,32,14,337,58,0.284,5.21
dickr001,2010,NYN,11,9,27,26,523,104,0.251,2.84
dickr001,2011,NYN,8,13,33,32,626,134,0.256,3.28
dickr001,2012,NYN,20,6,34,33,701,230,0.226,2.73
dickr001,2013,TOR,14,13,34,34,674,177,0.242,4.21
dickr001,2014,TOR,14,13,34,34,647,173,0.233,3.71
dickr001,2015,TOR,11,11,33,33,643,126,0.244,3.91
dickr001,2016,TOR,10,15,30,29,509,126,0.258,4.46
dickr001,2017,ATL,10,10,31,31,570,136,0.266,4.26
duckb001,2003,PHI,4,7,24,18,279,68,0.272,4.94
eatoa001,2003,SDN,9,12,31,31,549,146,0.24600000000000002,4.08
eatoa001,2004,SDN,11,14,33,33,598,153,0.266,4.61
eatoa001,2005,SDN,11,5,24,22,386,100,0.275,4.27
eatoa001,2006,TEX,7,4,13,13,195,43,0.299,5.12
eatoa001,2007,PHI,10,10,30,30,485,97,0.301,6.29
eatoa001,2008,PHI,4,8,21,19,321,57,0.31,5.8
escok001,2003,TOR,13,9,41,26,541,159,0.27,4.29
escok001,2004,ANA,11,12,33,33,625,191,0.244,3.93
escok001,2006,ANA,11,14,30,30,568,147,0.264,3.61
