Y,LogitLasso,LogitRidge,LogitElasticNet,DecisionTree,RF,SGD,XGBoost
2016,0.6102183765966214,0.61516275236918,0.61557478368356,0.5995055624227441,0.6081582200247219,0.5838483724763082,0.6122785331685208
2017,0.6246913580246913,0.6234567901234568,0.6234567901234568,0.6123456790123457,0.6181069958847737,0.5839506172839506,0.6213991769547325
2018,0.6356525319061342,0.6352408398517908,0.6344174557431042,0.6323589954713874,0.6372993001235077,0.5961300946891726,0.6372993001235077
2019,0.6251546391752577,0.6243298969072165,0.6235051546391752,0.6222680412371134,0.6247422680412371,0.5884536082474227,0.6214432989690721
