,ElasticNet,XGBoost,RandomForest
OBP,0.028586932995902054,0.26070722937583923,0.3344576361706385
rest,0.01063098368995669,0.0,0.00151085864526974
ISO,0.006530187566422513,0.16093140840530396,0.24859965812698678
WHIP,0.004616798337590976,0.08271854370832443,0.07401112208596666
K9,0.0009968788526295235,0.10500580072402954,0.04254703437681621
K/BB,0.0007525722926410142,0.07951373606920242,0.07244258749919351
HR9,0.0006909984996383671,0.09927616268396378,0.054706742454953175
FIP,0.00041040839862422826,0.09822598099708557,0.05767144873434355
ELO,0.0,0.11362114548683167,0.11405291190583204
