M,LogitLasso,LogitRidge,LogitElasticNet,DecisionTree,RF,SGD,XGBoost,Naive
3,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4074074074074074,0.46296296296296297,0.5370370370370371,0.48148148148148145,0.6296296296296297
4,0.6005221932114883,0.6005221932114883,0.6005221932114883,0.5926892950391645,0.6057441253263708,0.577023498694517,0.5848563968668408,0.5091383812010444
5,0.6553398058252428,0.6504854368932039,0.6529126213592233,0.6771844660194175,0.662621359223301,0.6286407766990292,0.6529126213592233,0.5364077669902912
6,0.6129032258064516,0.6153846153846154,0.6153846153846154,0.6228287841191067,0.630272952853598,0.6004962779156328,0.6153846153846154,0.5285359801488834
7,0.6311475409836066,0.6366120218579235,0.6311475409836066,0.6120218579234973,0.6147540983606558,0.5819672131147541,0.6202185792349727,0.5027322404371585
8,0.6168674698795181,0.6216867469879518,0.619277108433735,0.6265060240963856,0.619277108433735,0.5349397590361445,0.6240963855421687,0.5590361445783133
9,0.6428571428571429,0.6301020408163265,0.6301020408163265,0.6275510204081632,0.6352040816326531,0.6147959183673469,0.6479591836734694,0.5229591836734694
